epsilon_eV,k_iz,K,dK_deps
116.0,2.725e-13,4.3616e-12,1.440000000000002e-14
117.0,2.735e-13,4.3758e-12,8.099999999999935e-15
118.0,2.745e-13,4.3778e-12,1.3599999999999861e-14
119.0,2.754e-13,4.403e-12,1.100000000000066e-15
120.0,2.741e-13,4.38e-12,6.750000000000148e-15
121.0,2.773e-13,4.4165e-12,2.4299999999999806e-14
122.0,2.782e-13,4.4286e-12,1.189999999999998e-14
123.0,2.791e-13,4.4403e-12,1.1500000000000102e-14
124.0,2.8e-13,4.4516e-12,1.1099999999999821e-14
125.0,2.807e-13,4.4625e-12,1.0699999999999944e-14
126.0,2.817e-13,4.473e-12,1.0300000000000067e-14
127.0,2.827e-13,4.4831e-12,9.899999999999786e-15
128.0,2.835e-13,4.4928e-12,9.500000000000313e-15
129.0,2.844e-13,4.5021e-12,9.100000000000032e-15
130.0,2.847e-13,4.511e-12,1.524999999999996e-14
131.0,2.86e-13,4.5326e-12,8.300000000000278e-15
132.0,2.862e-13,4.5276e-12,7.999999999999966e-15
133.0,2.876e-13,4.5486e-12,1.4200000000000081e-14
134.0,2.884e-13,4.556e-12,7.199999999999808e-15
135.0,2.892e-13,4.563e-12,6.799999999999931e-15
136.0,2.9e-13,4.5696e-12,6.4000000000000535e-15
137.0,2.908e-13,4.5758e-12,5.9999999999997725e-15
138.0,2.914e-13,4.5816e-12,1.2549999999999982e-14
139.0,2.923e-13,4.6009e-12,1.2200000000000291e-14
140.0,2.925e-13,4.606e-12,4.90000000000011e-15
141.0,2.938e-13,4.6107e-12,4.499999999999829e-15
142.0,2.945e-13,4.615e-12,1.1249999999999977e-14
143.0,2.952e-13,4.6332e-12,1.0899999999999883e-14
144.0,2.952e-13,4.6368e-12,3.3999999999997634e-15
145.0,2.966e-13,4.64e-12,1.0300000000000067e-14
146.0,2.973e-13,4.6574e-12,9.950000000000377e-15
147.0,2.98e-13,4.6599e-12,9.699999999999848e-15
148.0,2.986e-13,4.6768e-12,9.349999999999753e-15
149.0,2.993e-13,4.6786e-12,-5.899999999999803e-15
150.0,2.983e-13,4.665e-12,-1.3599999999999861e-14
