# Time: 0.0152
# x, y, density, x-velocity, y-velocity, pressure
-0.000000000000, -0.000000000000, 0.98022468, 1.00000000, 1.00000000, 1.00000000
-0.000000000000, 0.010101010101, 0.99001904, 1.00000000, 1.00000000, 1.00000000
-0.000000000000, 0.020202020202, 0.99986258, 1.00000000, 1.00000000, 1.00000000
-0.000000000000, 0.030303030303, 1.01047141, 1.00000000, 1.00000000, 1.00000000
-0.000000000000, 0.040404040404, 1.02197645, 1.00000000, 1.00000000, 1.00000000
-0.000000000000, 0.050505050505, 1.03403429, 1.00000000, 1.00000000, 1.00000000
-0.000000000000, 0.060606060606, 1.04624310, 1.00000000, 1.00000000, 1.00000000
-0.000000000000, 0.070707070707, 1.05835437, 1.00000000, 1.00000000, 1.00000000
-0.000000000000, 0.080808080808, 1.07024953, 1.00000000, 1.00000000, 1.00000000
-0.000000000000, 0.090909090909, 1.08186468, 1.00000000, 1.00000000, 1.00000000
-0.000000000000, 0.101010101010, 1.09315066, 1.00000000, 1.00000000, 1.00000000
-0.000000000000, 0.111111111111, 1.10406173, 1.00000000, 1.00000000, 1.00000000
-0.000000000000, 0.121212121212, 1.11455385, 1.00000000, 1.00000000, 1.00000000
-0.000000000000, 0.131313131313, 1.12458469, 1.00000000, 1.00000000, 1.00000000
-0.000000000000, 0.141414141414, 1.13411376, 1.00000000, 1.00000000, 1.00000000
-0.000000000000, 0.151515151515, 1.14310262, 1.00000000, 1.00000000, 1.00000000
-0.000000000000, 0.161616161616, 1.15151500, 1.00000000, 1.00000000, 1.00000000
-0.000000000000, 0.171717171717, 1.15931698, 1.00000000, 1.00000000, 1.00000000
-0.000000000000, 0.181818181818, 1.16647707, 1.00000000, 1.00000000, 1.00000000
-0.000000000000, 0.191919191919, 1.17296641, 1.00000000, 1.00000000, 1.00000000
-0.000000000000, 0.202020202020, 1.17875883, 1.00000000, 1.00000000, 1.00000000
-0.000000000000, 0.212121212121, 1.18383098, 1.00000000, 1.00000000, 1.00000000
-0.000000000000, 0.222222222222, 1.18816242, 1.00000000, 1.00000000, 1.00000000
-0.000000000000, 0.232323232323, 1.19173571, 1.00000000, 1.00000000, 1.00000000
-0.000000000000, 0.242424242424, 1.19453645, 1.00000000, 1.00000000, 1.00000000
-0.000000000000, 0.252525252525, 1.19655337, 1.00000000, 1.00000000, 1.00000000
-0.000000000000, 0.262626262626, 1.19777834, 1.00000000, 1.00000000, 1.00000000
-0.000000000000, 0.272727272727, 1.19820640, 1.00000000, 1.00000000, 1.00000000
-0.000000000000, 0.282828282828, 1.19783589, 1.00000000, 1.00000000, 1.00000000
-0.000000000000, 0.292929292929, 1.19666841, 1.00000000, 1.00000000, 1.00000000
-0.000000000000, 0.303030303030, 1.19470874, 1.00000000, 1.00000000, 1.00000000
-0.000000000000, 0.313131313131, 1.19196485, 1.00000000, 1.00000000, 1.00000000
-0.000000000000, 0.323232323232, 1.18844786, 1.00000000, 1.00000000, 1.00000000
-0.000000000000, 0.333333333333, 1.18417202, 1.00000000, 1.00000000, 1.00000000
-0.000000000000, 0.343434343434, 1.17915462, 1.00000000, 1.00000000, 1.00000000
-0.000000000000, 0.353535353535, 1.17341595, 1.00000000, 1.00000000, 1.00000000
-0.000000000000, 0.363636363636, 1.16697920, 1.00000000, 1.00000000, 1.00000000
-0.000000000000, 0.373737373737, 1.15987039, 1.00000000, 1.00000000, 1.00000000
-0.000000000000, 0.383838383838, 1.15211821, 1.00000000, 1.00000000, 1.00000000
-0.000000000000, 0.393939393939, 1.14375398, 1.00000000, 1.00000000, 1.00000000
-0.000000000000, 0.404040404040, 1.13481147, 1.00000000, 1.00000000, 1.00000000
-0.000000000000, 0.414141414141, 1.12532676, 1.00000000, 1.00000000, 1.00000000
-0.000000000000, 0.424242424242, 1.11533813, 1.00000000, 1.00000000, 1.00000000
-0.000000000000, 0.434343434343, 1.10488587, 1.00000000, 1.00000000, 1.00000000
-0.000000000000, 0.444444444444, 1.09401214, 1.00000000, 1.00000000, 1.00000000
-0.000000000000, 0.454545454545, 1.08276078, 1.00000000, 1.00000000, 1.00000000
-0.000000000000, 0.464646464646, 1.07117716, 1.00000000, 1.00000000, 1.00000000
-0.000000000000, 0.474747474747, 1.05930796, 1.00000000, 1.00000000, 1.00000000
-0.000000000000, 0.484848484848, 1.04720101, 1.00000000, 1.00000000, 1.00000000
-0.000000000000, 0.494949494949, 1.03490509, 1.00000000, 1.00000000, 1.00000000
-0.000000000000, 0.505050505051, 1.02246971, 1.00000000, 1.00000000, 1.00000000
-0.000000000000, 0.515151515152, 1.00994495, 1.00000000, 1.00000000, 1.00000000
-0.000000000000, 0.525252525253, 0.99738123, 1.00000000, 1.00000000, 1.00000000
-0.000000000000, 0.535353535354, 0.98482911, 1.00000000, 1.00000000, 1.00000000
-0.000000000000, 0.545454545455, 0.97233910, 1.00000000, 1.00000000, 1.00000000
-0.000000000000, 0.555555555556, 0.95996142, 1.00000000, 1.00000000, 1.00000000
-0.000000000000, 0.565656565657, 0.94774587, 1.00000000, 1.00000000, 1.00000000
-0.000000000000, 0.575757575758, 0.93574153, 1.00000000, 1.00000000, 1.00000000
-0.000000000000, 0.585858585859, 0.92399666, 1.00000000, 1.00000000, 1.00000000
-0.000000000000, 0.595959595960, 0.91255844, 1.00000000, 1.00000000, 1.00000000
-0.000000000000, 0.606060606061, 0.90147282, 1.00000000, 1.00000000, 1.00000000
-0.000000000000, 0.616161616162, 0.89078432, 1.00000000, 1.00000000, 1.00000000
-0.000000000000, 0.626262626263, 0.88053585, 1.00000000, 1.00000000, 1.00000000
-0.000000000000, 0.636363636364, 0.87076853, 1.00000000, 1.00000000, 1.00000000
-0.000000000000, 0.646464646465, 0.86152158, 1.00000000, 1.00000000, 1.00000000
-0.000000000000, 0.656565656566, 0.85283209, 1.00000000, 1.00000000, 1.00000000
-0.000000000000, 0.666666666667, 0.84473492, 1.00000000, 1.00000000, 1.00000000
-0.000000000000, 0.676767676768, 0.83726256, 1.00000000, 1.00000000, 1.00000000
-0.000000000000, 0.686868686869, 0.83044499, 1.00000000, 1.00000000, 1.00000000
-0.000000000000, 0.696969696970, 0.82430955, 1.00000000, 1.00000000, 1.00000000
-0.000000000000, 0.707070707071, 0.81888087, 1.00000000, 1.00000000, 1.00000000
-0.000000000000, 0.717171717172, 0.81418074, 1.00000000, 1.00000000, 1.00000000
-0.000000000000, 0.727272727273, 0.81022805, 1.00000000, 1.00000000, 1.00000000
-0.000000000000, 0.737373737374, 0.80703868, 1.00000000, 1.00000000, 1.00000000
-0.000000000000, 0.747474747475, 0.80462550, 1.00000000, 1.00000000, 1.00000000
-0.000000000000, 0.757575757576, 0.80299829, 1.00000000, 1.00000000, 1.00000000
-0.000000000000, 0.767676767677, 0.80216369, 1.00000000, 1.00000000, 1.00000000
-0.000000000000, 0.777777777778, 0.80212519, 1.00000000, 1.00000000, 1.00000000
-0.000000000000, 0.787878787879, 0.80288293, 1.00000000, 1.00000000, 1.00000000
-0.000000000000, 0.797979797980, 0.80443389, 1.00000000, 1.00000000, 1.00000000
