NACA 9412
1.000362  0.001207
0.999415  0.001635
0.996575  0.002915
0.991851  0.005031
0.985257  0.007956
0.976812  0.011653
0.966541  0.016078
0.954476  0.021177
0.940653  0.026886
0.925115  0.033139
0.907912  0.039859
0.889099  0.046969
0.868739  0.054385
0.846901  0.062022
0.823658  0.069793
0.799092  0.077610
0.773290  0.085386
0.746345  0.093035
0.718357  0.100473
0.689430  0.107620
0.659674  0.114396
0.629204  0.120731
0.598139  0.126555
0.566605  0.131806
0.534729  0.136429
0.502644  0.140374
0.470484  0.143601
0.438387  0.146077
0.406492  0.147779
0.374044  0.148488
0.341845  0.147792
0.310292  0.145719
0.279554  0.142334
0.249791  0.137721
0.221160  0.131984
0.193807  0.125241
0.167870  0.117627
0.143472  0.109283
0.120725  0.100361
0.099729  0.091016
0.080568  0.081406
0.063315  0.071683
0.048030  0.061999
0.034760  0.052493
0.023540  0.043297
0.014395  0.034528
0.007340  0.026286
0.002380  0.018658
-0.000487  0.011707
-0.001274  0.005480
0.000000  0.000000
0.003247 -0.004593
0.008372 -0.008176
0.015332 -0.010775
0.024077 -0.012426
0.034549 -0.013177
0.046684 -0.013083
0.060413 -0.012213
0.075663 -0.010640
0.092357 -0.008447
0.110415 -0.005722
0.129758 -0.002559
0.150306  0.000943
0.171981  0.004684
0.194706  0.008559
0.218407  0.012465
0.243013  0.016297
0.268456  0.019952
0.294667  0.023329
0.321583  0.026332
0.349138  0.028866
0.377266  0.030845
0.406127  0.032201
0.436280  0.033226
0.466726  0.034045
0.497356  0.034626
0.528061  0.034939
0.558728  0.034964
0.589242  0.034687
0.619486  0.034104
0.649343  0.033216
0.678695  0.032035
0.707422  0.030577
0.735408  0.028866
0.762537  0.026934
0.788694  0.024814
0.813766  0.022547
0.837647  0.020175
0.860229  0.017742
0.881414  0.015294
0.901105  0.012876
0.919213  0.010534
0.935654  0.008309
0.950351  0.006243
0.963235  0.004372
0.974244  0.002730
0.983326  0.001346
0.990436  0.000244
0.995540 -0.000557
0.998612 -0.001044
0.999638 -0.001207
